Task,Logistic Regression,Random Forest
NR-AR,0.7747063210889428,0.7720725340294611
NR-AR-LBD,0.838139534883721,0.8419269102990032
NR-AhR,0.7883069743323826,0.7876263935701322
NR-Aromatase,0.725,0.7229885057471265
NR-ER,0.6328183716075158,0.6382045929018789
NR-ER-LBD,0.763779527559055,0.7945696443117025
NR-PPAR-gamma,0.7221966911764706,0.7694738051470588
SR-ARE,0.7161842578787723,0.7505912292427126
SR-ATAD5,0.7168294344764933,0.6890529184646832
SR-HSE,0.705360205831904,0.7159305317324186
SR-MMP,0.7960151587355616,0.8052284022057321
SR-p53,0.7079232111692845,0.7759045956951717
