Task,MultiClassification NN,Graph Convolution Network
NR-AR,0.7658959537572254,0.7430091965827926
NR-AR-LBD,0.8140863787375414,0.8003322259136212
NR-AhR,0.7497191253997061,0.8125419399528108
NR-Aromatase,0.6824233716475095,0.8199712643678161
NR-ER,0.5910647181628392,0.7155090655509067
NR-ER-LBD,0.6869399945696444,0.8170347003154574
NR-PPAR-gamma,0.7403492647058824,0.8187040441176471
SR-ARE,0.7306565215156032,0.7579451345755694
SR-ATAD5,0.7002498296615943,0.7342584167424933
SR-HSE,0.6845197255574613,0.7797279508556385
SR-MMP,0.7706673928336397,0.8332800365463682
SR-p53,0.682303664921466,0.7240255962769052
